Brand,Yarn,Colorway,Weight,Grams/skein,Yards/skein,Meters/skein,Skeins,Remaining skeins,Remaining yards,Remaining meters,Remaining grams
Bernat,Baby Blanket (Polyester),Blue Jeans,Super Bulky (5-6 wpi),300,220,201.2,2,2,440,402.3,600
Bernat,Blanket,coal,Super Bulky (5-6 wpi),300,220,201.2,1,1,220,201.2,300
Bernat,Blanket,Vintage White,Super Bulky (5-6 wpi),300,220,201.2,1,1,220,201.2,300
Bernat,Blanket Brights,Jump Rope Varg op p pop] ,Super Bulky (5-6 wpi),150,108,98.8,3,3,324,296.3,450
Bernat,Blanket Brights,school bus yellow,Super Bulky (5-6 wpi),150,108,98.8,1,1,108,98.8,150
Bernat,Satin Solids,Aqua,Aran (8 wpi),100,200.1,183,6,6,1200.8,1098,600
Berroco,Modern Cotton™,1621 Warbler,Worsted (9 wpi),100,209,191.1,2,2,418,382.2,200
Big Twist,Cotton,Water Lilies,Aran (8 wpi),55,96,87.8,4.5,4.5,432,395,247
Big Twist,Cotton,Flamingo Splash,Aran (8 wpi),55,96,87.8,4,4,384,351.1,220
Big Twist,Cotton,Blueberry Speckle,Aran (8 wpi),55,96,87.8,3,3,288,263.3,165
Big Twist,Cotton,Fruity Speckle,Aran (8 wpi),55,96,87.8,3,3,288,263.3,165
Big Twist,Cotton,Sea Glass,Aran (8 wpi),55,96,87.8,3,3,288,263.3,165
Big Twist,Cotton,Pastel Blue,Aran (8 wpi),55,96,87.8,3,3,288,263.3,165
Big Twist,Cotton,Violet Splash,Aran (8 wpi),55,96,87.8,3,3,288,263.3,165
Big Twist,Cotton,Wildflowers,Aran (8 wpi),55,96,87.8,1,1,96,87.8,55
Crafters Square,Acrylic Solid Aran,pewter,Aran (8 wpi),60,132,120.7,7,7,924,844.9,420
Crafters Square,Polyester Solid Aran,lilac,Aran (8 wpi),60,132,120.7,4,4,528,482.8,240
Hobby Lobby,Crafter's Secret Cotton Multi,Caribbean ,Worsted (9 wpi),71,120,109.7,1,1,120,109.7,71
Hobby Lobby,Crafter's Secret Cotton Multi,haute pink,Worsted (9 wpi),71,120,109.7,1,1,120,109.7,71
Hobby Lobby,Crafter's Secret Cotton Solids,lavender,Worsted (9 wpi),57,95,86.9,2,2,190,173.7,114
Hobby Lobby,Crafter's Secret Cotton Solids,lavender ,Worsted (9 wpi),57,95,86.9,2,2,190,173.7,114
Hobby Lobby,I Love This Chunky! Colors,Oasis Beat,Super Bulky (5-6 wpi),100,109,99.7,3,3,327,299,300
Hobby Lobby,I Love This Cotton!,red,Aran (8 wpi),100,180,164.6,2,2,360,329.2,200
Hobby Lobby,I Love This Cotton!,Bright Green,Aran (8 wpi),100,180,164.6,1,1,180,164.6,100
Hobby Lobby,I Love This Cotton!,Dove,Aran (8 wpi),100,180,164.6,2,2,360,329.2,200
Hobby Lobby,I Love This Cotton!,Curry,Aran (8 wpi),100,180,164.6,1,1,180,164.6,100
Hobby Lobby,I Love This Cotton!,Khaki,Aran (8 wpi),100,180,164.6,1,1,180,164.6,100
Hobby Lobby,I Love This Cotton!,Black,Aran (8 wpi),100,180,164.6,1,1,180,164.6,100
Hobby Lobby,I Love This Cotton!,Dark Denim,Aran (8 wpi),100,180,164.6,1,1,180,164.6,100
Hobby Lobby,I Love This Cotton!,Parchment,Aran (8 wpi),100,180,164.6,3,3,540,493.8,300
Hobby Lobby,I Love This Cotton!,Aspyn,Aran (8 wpi),100,180,164.6,1,1,180,164.6,100
Hobby Lobby,I Love This Cotton!,Antique Cream,Aran (8 wpi),100,180,164.6,1,1,180,164.6,100
Hobby Lobby,I Love This Cotton!,Brown,Aran (8 wpi),100,180,164.6,1,1,180,164.6,100
Hobby Lobby,I Love This Cotton!,308 Pewter,Aran (8 wpi),100,180,164.6,1,1,180,164.6,100
Hobby Lobby,I Love This Cotton!,90 Royalty,Aran (8 wpi),100,180,164.6,2.75,2.75,495,452.6,275
Hobby Lobby,I Love This Cotton!,70 Turquoise,Aran (8 wpi),100,180,164.6,1,1,180,164.6,100
Hobby Lobby,I Love This Cotton!,101 Deep turquoise,Aran (8 wpi),100,180,164.6,6,6,1080,987.6,600
Hobby Lobby,I Love This Cotton!,254 Rosy,Aran (8 wpi),100,180,164.6,2,2,360,329.2,200
Hobby Lobby,I Love This Cotton!,33 Warm blush,Aran (8 wpi),100,180,164.6,3,3,540,493.8,300
Hobby Lobby,I Love This Cotton! Print,Teal,Aran (8 wpi),85,153,139.9,2,2,306,279.8,170
Hobby Lobby,I Love This Cotton! Print,Glowing,Aran (8 wpi),85,153,139.9,1,1,153,139.9,85
Hobby Lobby,I Love This Cotton! Print,Brights,Aran (8 wpi),85,153,139.9,2,2,306,279.8,170
Hobby Lobby,I Love This Yarn! Ombre,Purple Gradient,Aran (8 wpi),142,252,230.4,3,3,756,691.3,426
Hobby Lobby,I Love This Yarn! Print,Eddington Ridge,Aran (8 wpi),142,252,230.4,1,1,252,230.4,142
Hobby Lobby,I Love This Yarn! Print,Chambray,Aran (8 wpi),142,252,230.4,1,1,252,230.4,142
Hobby Lobby,I Love This Yarn! Print,Blue Me Away,Aran (8 wpi),142,252,230.4,2.5,2.5,630,576.1,355
Hobby Lobby,I Love This Yarn! Print,Pale Aqua Graduent,Aran (8 wpi),114,202,184.7,4,4,808,738.8,456
Hobby Lobby,I Love This Yarn! Print,Blushing Sunrise,Aran (8 wpi),142,252,230.4,2,2,504,460.9,284
Hobby Lobby,I Love This Yarn! Print,Fruit Punch,Aran (8 wpi),142,252,230.4,0.5,0.5,126,115.2,71
Hobby Lobby,I Love This Yarn! Solids,Aubergine,Aran (8 wpi),199,355,324.6,4,4,1420,1298.4,796
Hobby Lobby,I Love This Yarn! Solids,soft blue,Aran (8 wpi),199,355,324.6,1,1,355,324.6,199
Hobby Lobby,I Love This Yarn! Solids,Periwinkle ,Aran (8 wpi),199,355,324.6,1,1,355,324.6,199
Hobby Lobby,I Love This Yarn! Solids,112 Ocean,Aran (8 wpi),199,355,324.6,1,1,355,324.6,199
Hobby Lobby,I Love This Yarn! Sport Weight Solids,Greybeard,DK (11 wpi),70,230,210.3,7,7,1610,1472.2,490
K+C | Knit and Crochet ,Essential Cotton,Rain Forest,DK (11 wpi),100,180,164.6,1,1,180,164.6,100
K+C | Knit and Crochet ,Essential Cotton,Iditarod,DK (11 wpi),100,180,164.6,2,2,360,329.2,200
K+C | Knit and Crochet ,Essential Cotton,Charcoal,DK (11 wpi),100,180,164.6,1,1,180,164.6,100
K+C | Knit and Crochet ,KC Botanical,Sun Dried Tomato,Aran (8 wpi),100,137,125.3,1,1,137,125.3,100
Lily (Spinrite),Sugar'n Cream The Original (Solids),Purple Haze,Worsted (9 wpi),113,190,173.7,1,1,190,173.7,113
Lily (Spinrite),Sugar'n Cream The Original (Solids),Dark Orchid,Worsted (9 wpi),113,190,173.7,2,2,380,347.5,226
Lily (Spinrite),Sugar'n Cream The Original (Solids),Berry Crush,Worsted (9 wpi),113,190,173.7,1,1,190,173.7,113
Lily (Spinrite),Sugar'n Cream The Original (Solids),Teal,Worsted (9 wpi),113,190,173.7,1,1,190,173.7,113
Lily (Spinrite),Sugar'n Cream The Original (Solids),Rose Pink,Worsted (9 wpi),113,190,173.7,1,1,190,173.7,113
Lion Brand,24/7 Cotton,Beets,Worsted (9 wpi),100,186,170.1,1,1,186,170.1,100
Lion Brand,Coboo,Lilac,DK (11 wpi),100,232,212.1,9,9,2088,1909.3,900
Lion Brand,Coboo,ice blue,DK (11 wpi),100,232,212.1,2,2,464,424.3,200
Lion Brand,Coboo,Mauve,DK (11 wpi),100,232,212.1,2.5,2.5,580,530.4,250
Lion Brand,Coboo,Coal,DK (11 wpi),100,232,212.1,2,2,464,424.3,200
Lion Brand,Coboo,Denim,DK (11 wpi),100,232,212.1,1,1,232,212.1,100
Lion Brand,DIY Glow,natural,Aran (8 wpi),50,71,64.9,3,3,213,194.8,150
Lion Brand,Go For Faux Sparkle ,Nebula,Super Bulky (5-6 wpi),85,56,51.2,7,7,392,358.4,595
Lion Brand,Go For Faux Sparkle ,Galaxy,Super Bulky (5-6 wpi),85,56,51.2,3,3,168,153.6,255
